,comment text,toxic,score,contains toxic keywords
135,no he is an arrogant self serving immature idiot get it right,yes,0.8696708,2
136,thanks for the comment about wikidefenderness i like that one i usually wikiling wikidefender i agree that at first he was somewhat innocent but now have my doubts as he is being really agressive about the whole matter,no,0.11078331,1
137,it might not have been your intention but your recent edit removed content from  please be careful not to remove content from wikipedia without a valid reason which you should specify in the edit summary or on the articles talk page take a look at our welcome page to learn more about contributing to this encyclopedia thank you  a link to the edit i have reverted can be found here link if you believe this edit should not have been reverted please contact me  suggestions,no,0.029092113,4
138,agree but thats not the issue the queston is in everyday english does first amendent refer primarily to the us constitution or is it ambiguous my belief remains that even fifth amendment is ambiguous and first amendment even more so      ,no,0.039462693,2
139,   main towns that are not so main   i know that you love to write a one sentence article but if you want to do that please at least do it properly stop saying x is a main town in y z what is so main about obscure towns   ,no,0.10870059,3
140,   halliday   good to see another contributor to his article if sfl is your thing you might consider joining the wikipediawikiprojectlinguisticssflsfl taskforce thanks   ,no,0.0137598375,3
141,   that stephen barrett is not board certified is not a viewpoint it is a fact a well documented one at that i dont see how wpprominence applies    ,no,0.043646812,1
142,could you do a precis of the material instead of just downloading a whole lot of stuff from somewhere else on the internet i am only one editor here but i do feel that the material you have provided could be cut down to fit the format of this article more info could be provided in a seperate wikipedia article if necessary,no,0.038519915,2
143,   cloud feedback   why is cloud feedback only under the positive feedbacks just about any paper states that it can be both that the ipcc states that it is more likely a positive than a negative feedback doesnt change that   ,no,0.030034892,0
144,avg plenty of greeks love the king stop acting like all greeks hate him you just parrot what the government tells us via their media we greeks asked george i to be our king we supported them they reclaimed much of our lands we voted to keep them numerous times in the 1930s by 97 vote  also he tried to overthrow the dictators read a book the greek government is the biggest liars the us didnt want us to have our king and our claim to constantinopleasia minor he is a direct descendant of five greek imperial byzantine dynasties monomachos comnenos laskaris angelos and paleologos,yes,0.36456755,5
145,this is a redirect discussion page please do not leave article related discussion here  please go to the articles discussion page,no,0.027324399,2
146, second issue   im thinking we need a taxonomy section there are things that arent really as clear as they maybe could be why iswhat specific findings about the fossils places r narmadensis in the subfamily carnotaurinae why princely lizard of the narmada is that significant as to the staturebehaviorpredatorial prowess of r narmadensis if there is anything more precise on its taxonomy such as that it would be great to add,no,0.041172907,1
147,redirects  トレイン・トレイン トレイン トレイン トレイントレイン トレイントレイン トレイントレイン トレイントレイン トレイン トレイン トレィン☆トレィン torein・torein torein torein toreintorein toreintorein toreintorein torein torein torein☆torein train・train train☆train トレイン—トレイン torein—torein train—train トレイン–トレイン torein–torein train–train  should redirect here,no,0.0109324735,0
148,السلام عليكم و رحمة الله و بركاته الا الجميع  تفضلوا جميعا,no,0.022846194,0
149,    another priceless gem from yourself demonstrating your general cluelessness the fuse rating and therefore the plug rating in the case of a nonrewireable plug is determined by the cable attached not the appliance it will be used with where on earth did you dig that nonsense up from there are plenty of good examples around but medium to large switch mode power supplies are often supplied with nominally 3 amp cable in a moulded on plug many with an iec 60320 c7 type plug rated by that standard at 25 amps according to you the plug should therefore be fitted with a 3 amp fuse determined by the cable if you did so you would never get any but the smallest power supplies running you have to fit a 5 amp fuse because the very large 40 amp momentary inrush current lasts long enough that it will blow a 3 amp fuse the cable and plug can retain their original ratings because the inrush current will not harm them the rating of the fuse is determined by much much more than the cable size alone indeed the type of power supply that is built into a plug usually has no fuse at all   1717,yes,0.38601747,4
150,this is just bizarre ani medjools abuse of wikipedia rules gets rewarded and then he awards you a barnstar  wtf  anyhow a new person adept at ridicule has joined in the conversation at falafel  sigh    ,yes,0.52811706,2
151,  firstly still making undiffable edits and refusing to use edit summaries is becoming a behavioural issue that will need to be escalated if it doesnt stop gun i really dont understand why you find it so hard to follow the basic standards of behaviour required to edit in a collaborative environment  secondly announcing changes on someones talk page doesnt really count as discussing them collaboratively rather it means you discussed it with me  furthermore i told you to go to the npov noticeboard to raise the state university vs university issue if you wanted to discuss the issue which you a failed to do b you removed the disputed tag from the article without a result as i suggested waiting until later c you made yet another diff which contained a large number of other unknown unknowable and undisucssed changes to the article    ,no,0.2667042,6
152,  name in the introductory paragraph  ive always been told that using dr  phd in the same name was incorrect as the phd automatically conferred the status of doctor   however im not sure what to do in this case  since he is so wellknown as dr martin luther king jr the normal approach of dropping dr and keeping phd doesnt seem to be the best answer even though its the one most style guides seem to endorse  would someone more intimately familliar with the article like to take a swing at changing it or suggesting an alternative   ,no,0.04290464,5
153, mrpainkiller neurophyte and jeanphilippe   after a complaint at intervention against vandalism i protected the article vampirefreakscom  it was either that or block all of you for disruption and personal attacks  i will unprotect the article in the morning  in the meantime please consider the following  reverting another users talk page is pretty rude  there is a policy conflict between the user talk page policy which says users can blank or archive warnings although archiving is preferred by the community and the vandalism policy which says that removing warnings given to you is vandalism  i dont agree with the vandalism point of view and i havent seen a lot of support for it lately except among people who are fighting amongst themselves for other reasons  if someone deletes a warning theyve obviously seen it  if you are concerned about someones edits use a verbose edit summary so that even if the warning is removed the edit summary will be visible  i understand there is a view among two of you that mrpainkiller7s edits are detrimental to the article  there are lots of right ways to deal with this including editing by consensus request for comment on the article or the user mediation and third opinion  im not going to judge the content but fighting wherever it occurs is the wrong way to deal with the problem  personal attacks are not to be tolerated  please deal with the content of edits not character   im leaving this message with each of you  if you keep fighting over talk pages i suppose i or another admin will eventually figure its time to block someone  unless you are positive that you are 100 right and the other guy is 100 wrong you should probably try and work this out peacefully in case the admins dont see things your way,no,0.27412915,13
154, hrthrtdghrsdtghtrsdhtrhdgthjrtgh   fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffhngviudfhgoiuerhgukfhkjgeruighervyfdohgobvijgfjgojfdhgjofhglkfhboerhgbdhoifdtyklerbhlkjhbdjgbojtgofgjrfjhlrkhilebotrjbh9jtrohibjrtlhujtyjunmoytijoryjhigfjhgfjnifgjgfhkljtgilhjfdojgfdojgfkjngfdlkjgnklfgikfvihgifbfhbgkufbdsukfgglkdhvureuhgiurhgh4irtgyrehgui4t7iryggoifhgo54oerygtjeiygut8gopfe8gig89fjhg9r8tyr8hygb7hruegfigust8g0r0retugrijtrir6tihviurhgnviurwtkcnguiergvknfgioerpjgklfupgrojgoirutkdhglrehgljkgyuorihfgiurwyhoug6y3oi4hg98w6u jtgnkjryt9jgoidug059jgiufd7teurjg98etujoijfgiosdug 0945ojtg0o8reuyjurfi ug945uj ygoip5uj5tgeoiu495ypw8y5urtg9ui8hui9g85w4mftmuv89tny0uvg8ytihguihfdkjvhu4krngkfdjs hgkjfghoeruygrhy goh tgoiugkiughgvhghghghhgghhghghghghghghghhhhhgtherkgheefjgsefdghh,yes,0.36867723,0
155, black mamba   itis ponious snake of the word and but it not kills many people but king cobra kills many people in india,yes,0.4269174,3
156,looks like this was an old issue so i took the liberty of removing it i dont see any difference between the nonspaced version and the spaced version now the spaced version just makes the intro look very strange,no,0.061444655,2
157,i just revamped wpfart i thought a little housekeeping would give it more street cred,no,0.1798404,1
158,does jp harris have anything to say about the ancre,no,0.04711028,1
159, dont feed the troll   responding with taunting is exactly the wrong way to respond  dont feed the troll  remove the post without comment or dont do anything at all,yes,0.42129645,1
160,  please accept my apologies  i interpreted your statement find a quote yourself or move it i dont care to mean that you thought the source could be removed instead of finding a quote  my mistake   ,no,0.1140901,0
161,while i tend to agree with all of this and am as slightly annoyed as anyone that we appear to have been blamed even though our article was accurate and respectful at all times and mr roth was treated with dignity and respect at all times its always in my nature to think about how we might do better in the future,no,0.032391842,2
162,i appreciate you asking royboy  my response may seem a lot less appreciative  it violates wpv  in a word it is tendentious just like the one thats been forced into the abortion article  it is still a pov pushing unsourced compromise with a small group and its meat puppets  even the medical definition is abbreviated and distorted as the result of the context suggesting death is part of the medically accepted definition of abortion  here’s yet another source to add to the ignored source list  the ‘’oxford thesaurus’’  in all the entries that contain abortion death including its variants is not listed  the main entries include miscarriage monster prevention termination and veto  i think the only potential solution for this now is arbitration,no,0.19893374,4
163,  i just reread the sectioni have no idea why the section is labeled views of the faithful  the section has very little to do with mormon viewpoints and is a hodgepodge of critiques mixed with minor mormon viewpoints  it definitely needs work  however i still will like for your specific ideas so that they could be incorporated gmk   ,no,0.05898502,3
164,vandalism  hello barbara   it appears you have a long history of vandalism and after another incident i am afraid i have no choice but to request a permanent ban from administrators i wish you good luck for the future,no,0.26104406,5
165,all the other daps have similar links and no one has complained,no,0.08716487,0
166,also fwiw i nominated polyamorous people for deleting take a look and weigh in if you like,no,0.2786282,0
167,since you have no further defence of your unsubstantiated claims of unreliability or to your oversight of precise statements in the provided citations that israel indeed broke the ceasefire thus rendering your claim of editorialising refuted i will post a wp3o,no,0.18269104,0
168, hands off my noobs p   its not that im particularly concerned about the loss of  but did you really need to step in and hardblock there  i saw the test edits i saw the username that while not violating any particular part of policy managed to be an astoundingly bad choice of username anyway i responded to these issues with the warning i felt was appropriate feeling that the user could have a second chance under a less moronic username  yes i am more patient with newbies who screw up than you are we can each have our own approach to adminship but i dont unblock and warn noobs youve just hardblocked so how about you dont hardblock noobs ive just warned  and if this was just an oversight thats fine again it is unlikely that wikipedia will suffer from the loss of this user,yes,0.4421347,9
169,edjohnston you are wrong i did not file the report benhen1997 did you also did not block the other person but only one of the several ips they were using,no,0.1991664,3
170,what the hell    justin,yes,0.54823303,1
171,  weve gone through those more than enough contemporary scholars and their sources long ago and all those sources were in reality rejected see the archives and the discussions again per georgians scripts you cannot have that kind of wording because this is way too much controversial and disputed issue and everything concerning the georgian script or its origins should be based upon its main article you cannot claim a in one article and b in another so please leave out this edit warring and get aware those long discussions at the georgian scripts article it is a very complex issue and you cannot describe it in one sentence by bombarding it with some cherry picked sources  ,no,0.12867521,6
172,  to the individual who is so insistent to add all the future destinations take a look at wpnotcrystal while you may have reference sources to the information posted its just pure speculation and cannot be verified nothing is firmed except london   ,no,0.10045706,0
173,wpsoapbox wpforum etc please engage in your conspiratorial fantasies elsewhere,no,0.29405528,0
174,the specific page linked to is just junk in regards to our policies on sources  check it for yourself,yes,0.45757914,1
175,on february 21 2015,no,0.015204934,0
176,the rapcore article cites 15 sources which back up all information stated including the basics of the genre the only person who is evading anything is ridernyc who avoids any instance in which he would be forced to admit that he is wrong   ,no,0.11036996,2
177,just a community post isnt db2fss a first trimester screening a prenatal test aimed to detect diseases or conditions in a fetus or embryo,no,0.034277402,1
178,buffoon synonyms    bozo buffo clown comedian comic fool harlequin humorist idiot jerk jester joker merryandrew mime mimic mummer playboy prankster ridicule stooge wag wit zany,yes,0.5885171,1
179,     confusion upon globus   shouldnt we mention that professor posses a huge penis and im not joking it doesnt seem very apropriate given that it is a children series and thus i find it amusing and strange maybe its not important bit what about the once apon a time section i find it similar to be clear what am i talking about here is a picture httpi2photobucketcomalbumsy15odinchoyfserievie06gif globus is the man on the right side i mean this seriously    ,yes,0.45921504,6
180,eek but shes cute in an earthy kind of way cant sing for shit though thanks for giving me an unhappy memory,yes,0.6863638,1
181,found them he has already told us that the documents concern his registration of the name el marino as to whether these supposed documents say anything whatsoever about a newspaper published in 1917 i have no idea  but they arent a thirdparty source either way they are primarysource documents confirming his personal actions,no,0.024142517,5
182,  draga apparently means dear google translate yes i am able to understand almost every romance language at an intermediate level i never stated that i could speak romanian also i removed the babel list because i could not find a proper position for it as it took too much space and made my userpage long how is that any of your concern   ,no,0.11367676,4
183,wikimania  hello  were chatting right now at wikimania  pleased to meet you,no,0.024613906,3
184,thanks for experimenting with wikipedia your test worked and has been reverted or removed please use the sandbox for any other tests you want to do take a look at the welcome page if you would like to learn more about contributing to our encyclopedia thanks     comment moved from user page by  ,no,0.012440401,3
185,for all peoples living east of a certain line like the vistula because he distinguishes them from other large ethnic groups in the same area the fenni probably finnougric and the sarmatians themselves taking that together with jordanes,no,0.10739898,0
186,  ps imho this all falls under the category created by  on her talk page which she appropriately refers to as loopy talk page discussionsscoldings  ,no,0.11119666,2
187,redirect talkponhook lake 10,no,0.015204934,0
188,  use of nepal bhasa  the term nepal bhasa is used in english officially as well as commonly here are some examples and facts about its use   google ngram search shows that nepal bhasha has exceeded the use of newar language here   government of nepal see picture of news about the governments stance is there in the page itself    nepal bhasa academy in its publications and awards   nepal bhasa parishad in its publications and awards   world newah organization examples of use in page 23 and 7   central department of nepal bhasa tribhuwan university the only university with curriculum in nepal bhasa news about scholarship in nepal bhasa   nepa pasa pucha americaye an example see page 9   pasa pucha guthi uk an example   rising nepal daily example   dharmodaya sabha the national buddhist organization of nepal the publications in the language are listed as nepal bhasa   asha archives the biggest archive of nepal bhasa literature website   journal of lumbini buddha dharma society example   journal of newar studies an example    archive of english essay about tipitaka translation project in nepal bhasa they have been publishing various segments of tipitaka in nepal bhasa   lotus research center activities in nepal bhasa    englishnepal bhasa dictionary in amazon   mobile phone nepal bhasa dictionary app   matina international website   miss newa miss best nepal bhasa is one of the categories official website with contestants talking about nepal bhasatht news about using nepal bhasa   nepalmandalcom one of the very few websites in nepal bhasa stating their objectives regarding nepal bhasa   image channel nepal bhasa section  thank you  ,no,0.051068526,6
189,if the indigenous population is so low why do they think they deserve everything,no,0.3250515,1
190,and lewd sex in china,yes,0.5559701,1
191, no more april foold edits by me in the article space   i will not make any more april fools edits in the article space  just in case you never saw it here is my april fools edit from last year,yes,0.4014846,4
192,i absolutely agree with you something is very wrong with my english if you misunderstood me as though i said all haredim regected rabbi hirschs way what i said was actually quite the oppositein the beginning agudat israel was based on the legacy of torah im derech erech afterwards the litvaks changed it but even today there is no dichotomy between agudat israel and rabbi hirschs way,no,0.059727192,1
193, bitch creek cow camp idaho   hey just a heads up i looked into this one and indeed there is a place named bitch creek cow camp wanted to let you know that the folks in idaho need not worry,yes,0.5566829,2
194,  two short stories  the list of works contains something called the mysterious portrait is this the same as the short story the portrait  ,no,0.030506283,0
195,   may 2015   ,no,0.012880214,0
196,well it sucks to have a university to be nicknameless and its the first time in ncaa history that it has happened ,yes,0.45396814,4
197, argh   some random idiot deleted the whole japan article ,yes,0.76197964,2
198, hello   you are an t0tl d0uch3 bg,yes,0.6491204,1
